file,type,mu,mu_std,C,C_std,A,A_std
hd26913_caii.txt,minimum,7837.388866516522,26.557791973994725,0.3469730516370038,0.0012965236035365737,7.234959315875006e-08,1.2209295662988649e-08
hd26923_caii.txt,minimum,7944.378273676096,26.65296352328672,0.2712874027102865,0.0005601222825855289,3.08867903666556e-08,5.151081394056901e-09
hd26965_caii.txt,maximum,3706.5727648942952,35.870421546653795,0.22771025488087704,0.004871026853681731,1.1591218305635496e-07,4.171448720116787e-08
hd26965_caii.txt,maximum,7876.793613937368,131.38776431306556,0.2230260287313792,0.0007473607486422081,7.27672717243853e-09,5.375001053892903e-09
hd26965_caii.txt,minimum,1815.6295249769446,259.549065563568,0.18932284073869604,0.0012197227340028948,6.8376942293233954e-09,7.713611766371522e-09
hd26965_caii.txt,minimum,5984.291609805325,13.137680320695162,0.1733805395189639,0.0004746373755983458,6.054387425277654e-08,4.617276427303061e-09
hd26965_caii.txt,minimum,9716.38277484904,25.344647273442636,0.1728380584688934,0.0007810780443736077,3.5100214441168824e-08,2.1029216348967627e-08
hd27022_caii.txt,maximum,3563.321874223642,132.1072681330601,0.4636893625250447,0.001874554302049054,3.120948929673545e-08,9.653772856766807e-09
hd27022_caii.txt,maximum,5672.700000000185,1176.3278101993033,0.4913652330203096,0.02537487638786623,3.878882591355522e-08,7.351084967759094e-08
hd27022_caii.txt,minimum,2094.899208586681,7.968963667223628,0.3872431855778199,0.0009263771601147479,1.6739451538694732e-07,8.574259677811204e-09
hd27022_caii.txt,minimum,4495.682485820236,125.72177005253852,0.4273162338394563,0.00483206986089949,3.03949869766105e-07,1.8892151087285565e-07
hd27348_caii.txt,maximum,2518.977337391461,355.0893034161399,0.37845784612386196,0.004881528015932217,4.06498541942312e-08,3.8488681479900495e-08
hd27348_caii.txt,minimum,875.1512000000639,1920.8060878332285,0.33614788717560784,0.0013763109291566342,2.541299425339197e-09,1.4226774011036037e-08
hd28307_caii.txt,maximum,3825.7000000001867,359.27047525510784,0.44883506881471313,0.005280327197422999,7.56114188542424e-08,2.0773660826800243e-07
hd28307_caii.txt,minimum,983.818914402527,60.9291691292527,0.34919863829716397,0.0007060527255459434,2.8781975940107473e-08,7.345385566966213e-09
hd30495_caii.txt,maximum,8742.869318096133,49.25067691454556,0.31519667510576393,0.0026748615356217546,6.011236391882423e-08,2.462604888328864e-08
hd30495_caii.txt,minimum,7022.592734445673,10.658159356509659,0.27515040289680975,0.0009191024952627787,9.03474177801813e-08,7.844989836554466e-09
hd3651_caii.txt,maximum,4612.56319989622,1347.6362426199914,0.20140375737829566,0.006980829139959291,1.1482469575944406e-08,2.9185509954277803e-08
hd3651_caii.txt,maximum,10027.800000038564,99.8027562067329,0.17670406547647122,0.0006651470085672784,2.271833801477402e-08,2.051602102991805e-08
hd3651_caii.txt,minimum,2447.2952000000437,330.16726086058435,0.17105556108675898,0.0007529491076545386,5.9680066307889384e-09,5.578836709922286e-09
hd3651_caii.txt,minimum,7388.235200043209,2051.573957307944,0.15921883275633017,0.0005014411471066379,7.983120213518497e-10,4.3204721031968114e-09
hd4628_caii.txt,maximum,3251.6944000005838,607.9020645561826,0.2491988115083547,0.003032962790263864,1.521710626816633e-08,2.0484017702378267e-08
hd4628_caii.txt,maximum,6500.942577490051,43.419272124935965,0.2674540585140331,0.0010429574756351217,5.100088368219519e-08,9.316911336835305e-09
hd4628_caii.txt,maximum,9850.250743669685,14.574784434665851,0.2547716897906694,0.0008204423186431419,5.051953509734227e-08,5.09486124099067e-09
hd4628_caii.txt,minimum,2221.3299243540264,44.28967089116151,0.20859472733662476,0.0013665690958081023,3.0697028235921125e-08,1.212531184052862e-08
hd4628_caii.txt,minimum,5104.116800000138,53.01264740965869,0.1973600136322489,0.0004756539838334347,6.481505870616999e-08,1.2049080569800066e-08
hd4628_caii.txt,minimum,8216.720861775791,13.255505220155156,0.19522171049875225,0.0006402860435962613,7.200825446557818e-08,5.964189328516997e-09
hd4628_Mt_wilson_data.txt,maximum,3230.910523080005,661.3844516021481,0.249294909619509,0.0033526050259720416,1.4603331903657647e-08,2.0470601067566217e-08
hd4628_Mt_wilson_data.txt,maximum,6408.37405128488,17.246146246093037,0.2685198186689148,0.0011238832370005548,7.387083179568278e-08,7.769510523769838e-09
hd4628_Mt_wilson_data.txt,maximum,9932.577548824074,36.878327851374735,0.25435881299713664,0.0008203382519317255,3.4889821773121265e-08,6.001580211453408e-09
hd4628_Mt_wilson_data.txt,minimum,2221.32992512502,44.28967055992174,0.2085947273345137,0.0013665690953889066,3.0697028280760653e-08,1.2125311834399013e-08
