2443237.80000	0.2694
2443237.80000	0.2867
2443238.80000	0.294
2443238.80000	0.2793
2443239.80000	0.273
2443239.80000	0.2795
2443255.80000	0.2733
2443256.80000	0.2726
2443256.80000	0.278
2443257.80000	0.2757
2443273.80000	0.2832
2443294.80000	0.3439
2443295.80000	0.2868
2443296.80000	0.2824
2443297.80000	0.2744
2443347.80000	0.2888
2443347.80000	0.2914
2443348.80000	0.28
2443348.80000	0.292
2443349.80000	0.2724
2443349.80000	0.2908
2443350.80000	0.281
2443350.80000	0.2769
2443351.80000	0.2889
2443351.80000	0.2789
2443629.80000	0.3076
2443663.80000	0.3057
2443664.80000	0.3006
2443703.80000	0.3286
2443704.80000	0.3304
2443742.80000	0.3314
2443743.80000	0.3376
2443982.80000	0.2632
2443983.80000	0.2874
2443997.80000	0.3512
2443998.80000	0.32
2444002.80000	0.3059
2444003.80000	0.3392
2444004.80000	0.3363
2444005.80000	0.3301
2444022.80000	0.3605
2444024.80000	0.344
2444050.80000	0.3497
2444051.80000	0.3486
2444411.72900	0.2978
2444411.73300	0.3027
2444411.73700	0.2988
2444423.70200	0.311
2444423.70499	0.2998
2444424.68701	0.3029
2444424.69101	0.2926
2444424.74100	0.3204
2444424.74399	0.3156
2444426.68701	0.2808
2444426.68900	0.2971
2444426.77301	0.3055
2444426.77499	0.3091
2444426.77701	0.2986
2444426.77899	0.3038
2444426.78101	0.3022
2444426.78299	0.3058
2444426.78500	0.2988
2444429.70700	0.3024
2444429.70901	0.2952
2444430.68301	0.3026
2444430.68500	0.2926
2444430.68600	0.2993
2444432.68100	0.3194
2444432.68301	0.3362
2444432.68500	0.3214
2444432.75201	0.3281
2444432.75299	0.3204
2444432.75500	0.3142
2444432.81201	0.3353
2444432.81299	0.3276
2444432.81500	0.3216
2444432.86801	0.3242
2444432.86899	0.3226
2444432.87100	0.3144
2444435.68900	0.3173
2444435.69101	0.298
2444441.69101	0.3324
2444441.69299	0.3149
2444441.69400	0.3264
2444442.70300	0.3225
2444442.70599	0.3292
2444442.70700	0.3405
2444443.70599	0.3174
2444443.70801	0.3174
2444443.70999	0.3179
2444444.69901	0.3225
2444444.70099	0.3174
2444444.70300	0.3324
2444445.67001	0.3327
2444445.67200	0.3295
2444445.67499	0.337
2444445.70099	0.3387
2444445.70300	0.3394
2444445.70499	0.3204
2444446.67999	0.3252
2444446.68201	0.333
2444446.68399	0.3278
2444446.73999	0.3387
2444446.74200	0.3339
2444446.74500	0.3235
2444447.71899	0.3127
2444447.72101	0.3246
2444447.72400	0.3219
2444448.71201	0.3195
2444448.71399	0.3297
2444448.71600	0.3353
2444449.73801	0.3297
2444449.73999	0.3363
2444449.74200	0.3331
2444450.66699	0.3221
2444450.67001	0.325
2444450.67200	0.3267
2444451.72800	0.3222
2444451.73001	0.3287
2444451.73199	0.3287
2444452.72601	0.3254
2444452.72800	0.3153
2444452.73001	0.3303
2444453.67801	0.335
2444453.67999	0.3389
2444453.68301	0.3178
2444453.72601	0.3128
2444453.72900	0.322
2444453.73099	0.3327
2444454.74301	0.3165
2444454.74500	0.3114
2444454.74701	0.3202
2444458.73499	0.3358
2444458.73599	0.3222
2444458.73801	0.3393
2444460.70901	0.3195
2444460.71100	0.3153
2444460.71201	0.3156
2444461.73801	0.3107
2444461.73999	0.314
2444461.74200	0.3062
2444462.74301	0.3119
2444462.74600	0.3019
2444462.74799	0.3075
2444463.71701	0.3069
2444463.71899	0.3066
2444463.72101	0.3174
2444464.72299	0.3152
2444464.72501	0.3174
2444464.72699	0.313
2444465.74701	0.3129
2444465.75000	0.305
2444465.75400	0.3001
2444466.73999	0.3034
2444466.74301	0.2933
2444466.74701	0.3095
2444467.73901	0.3172
2444467.74100	0.3136
2444467.74399	0.296
2444468.74100	0.3304
2444468.74301	0.3079
2444468.74500	0.3346
2444469.72198	0.3127
2444469.72400	0.3276
2444469.72601	0.3161
2444470.72900	0.3143
2444470.73099	0.317
2444470.73300	0.3225
2444472.71799	0.3206
2444472.72000	0.3171
2444472.72198	0.3268
2444474.71100	0.333
2444474.71301	0.3205
2444474.71500	0.3175
2444475.73401	0.3183
2444475.73599	0.3274
2444475.73801	0.318
2444476.73700	0.3334
2444476.73801	0.337
2444476.74100	0.3384
2444478.70099	0.3377
2444478.70200	0.3445
2444478.70401	0.3359
2444479.71301	0.3366
2444479.71399	0.3317
2444479.71600	0.328
2444480.70300	0.3348
2444480.70401	0.3316
2444480.70599	0.3321
2444481.70599	0.3323
2444481.70700	0.3254
2444481.70901	0.3267
2444482.71799	0.3255
2444482.72000	0.3208
2444482.72198	0.3344
2444484.72000	0.3219
2444484.72198	0.316
2444484.72501	0.3193
2444485.71100	0.3273
2444485.71301	0.3342
2444485.71500	0.3283
2444486.70099	0.3296
2444486.70300	0.3162
2444486.70599	0.3162
2444487.70599	0.3206
2444487.70801	0.325
2444487.70999	0.3226
2444488.70499	0.3138
2444488.70599	0.3261
2444488.70801	0.3094
2444489.68500	0.2975
2444489.68701	0.3095
2444489.69000	0.3169
2444490.68399	0.3183
2444490.68701	0.3016
2444490.69000	0.3034
2444491.68799	0.3083
2444491.69000	0.314
2444491.69299	0.3236
2444493.68301	0.3099
2444493.68600	0.3097
2444493.68900	0.3099
2444494.66901	0.3
2444494.67099	0.3175
2444494.67300	0.3228
2444495.67099	0.3152
2444495.67300	0.322
2444495.67499	0.3089
2444496.68600	0.2952
2444496.69000	0.3011
2444496.69299	0.2991
2444506.65100	0.3289
2444506.65302	0.3207
2444506.65500	0.3222
2444507.64801	0.3072
2444507.64999	0.3251
2444507.65201	0.3147
2444508.64600	0.3307
2444508.64899	0.3282
2444508.65100	0.3272
2444509.67801	0.3232
2444509.67899	0.3302
2444509.68100	0.3131
2444510.67401	0.3387
2444510.67700	0.3296
2444510.67999	0.3211
2444511.66901	0.3299
2444511.67099	0.3255
2444511.67401	0.3151
2444512.68500	0.3432
2444512.69000	0.3259
2444512.69501	0.3446
2444513.65997	0.3342
2444513.66302	0.3335
2444513.66602	0.311
2444514.64600	0.3246
2444514.64899	0.3377
2444514.65198	0.3197
2444515.65100	0.3313
2444515.65399	0.3375
2444515.65601	0.3203
2444516.65399	0.3387
2444516.65698	0.3387
2444516.65997	0.3322
2444517.67297	0.3304
2444517.67700	0.3441
2444517.68103	0.3391
2444525.63300	0.3158
2444525.63501	0.3185
2444525.63800	0.3294
2444527.64502	0.3297
2444527.64899	0.3065
2444528.62500	0.3242
2444528.63202	0.3192
2444674.02600	0.294
2444674.02802	0.3143
2444674.03003	0.2977
2444679.05200	0.2944
2444679.05402	0.2887
2444679.05603	0.2979
2444704.03003	0.3036
2444705.97498	0.2742
2444705.97803	0.2847
2444705.97998	0.2953
2444707.96899	0.2931
2444707.97198	0.2878
2444707.97400	0.3169
2444709.00800	0.3018
2444709.01001	0.3031
2444709.01300	0.3038
2444710.00897	0.3033
2444710.01099	0.2951
2444710.01300	0.309
2444716.99298	0.2997
2444716.99597	0.3061
2444716.99902	0.3101
2444732.95898	0.2613
2444732.96198	0.2919
2444732.96600	0.2835
2444733.90198	0.2826
2444733.90601	0.2883
2444733.90900	0.2799
2444734.93701	0.2714
2444734.94098	0.2841
2444734.94598	0.2774
2444735.94598	0.2902
2444735.95001	0.2865
2444735.95398	0.2859
2444736.92999	0.2895
2444736.93402	0.2895
2444736.93701	0.2785
2444737.94598	0.2814
2444737.95001	0.2922
2444737.95300	0.2798
2444738.93799	0.2805
2444738.94202	0.2812
2444738.94598	0.2681
2444742.87903	0.2906
2444742.88202	0.2936
2444742.88501	0.2883
2444748.95203	0.2816
2444748.95697	0.2826
2444748.96198	0.2823
2444753.94000	0.2919
2444753.94397	0.2987
2444753.94897	0.2982
2444754.92999	0.2829
2444754.93500	0.2942
2444754.94098	0.2742
2444755.92999	0.2882
2444755.93500	0.2952
2444755.94098	0.2914
2444756.91199	0.289
2444756.91699	0.2842
2444756.92200	0.2692
2444759.92902	0.2757
2444759.93402	0.288
2444759.93903	0.287
2444760.91901	0.2793
2444760.92401	0.278
2444760.92798	0.2795
2444761.91498	0.2837
2444761.91998	0.2874
2444761.92603	0.2789
2444762.92798	0.2974
